Wall time,Step,Examples,RMSE,Value
1682079209,3580,42960,0.693490846,0.480929554
1682082552,7160,85920,0.367452546,0.135021374
1682085880,10740,128880,0.338510573,0.114589408
1682089179,14320,171840,0.399664933,0.159732059
1682092481,17900,214800,0.301863754,0.091121726
1682095801,21480,257760,0.256073462,0.065573618
1682099128,25060,300720,0.274779812,0.075503945
1682102445,28640,343680,0.244781462,0.059917964
1682105763,32220,386640,0.253125502,0.06407252
1682109071,35800,429600,0.220818447,0.048760787
1682112379,39380,472560,0.231207238,0.053456787
1682115882,42960,515520,0.221980374,0.049275286
1682119224,46540,558480,0.238051718,0.056668621
1682122647,50120,601440,0.230113143,0.052952059
1682125994,53700,644400,0.218256829,0.047636043
1682129317,57280,687360,0.205415557,0.042195551
1682132742,60860,730320,0.217945117,0.047500074
1682136100,64440,773280,0.197763391,0.039110359
1682139407,68020,816240,0.200922033,0.040369663
1682142711,71600,859200,0.212285433,0.045065105
1682146080,75180,902160,0.23154959,0.053615212
1682149434,78760,945120,0.300853448,0.090512797
1682152770,82340,988080,0.208167744,0.04333381
1682156079,85920,1031040,0.219113567,0.048010755
1682159388,89500,1074000,0.2029626,0.041193817
1682162701,93080,1116960,0.189218838,0.035803769
1682166011,96660,1159920,0.191349683,0.036614701
1682169318,100240,1202880,0.185727553,0.034494724
1682172625,103820,1245840,0.198636935,0.039456632
1682175934,107400,1288800,0.188400293,0.03549467
1682179344,110980,1331760,0.174908053,0.030592827
1682182698,114560,1374720,0.188570335,0.035558771
1682186028,118140,1417680,0.186399119,0.034744631
1682189335,121720,1460640,0.186698492,0.034856327
1682192658,125300,1503600,0.189789856,0.03602019
1682196143,128880,1546560,0.183257546,0.033583328
1682199473,132460,1589520,0.187412659,0.035123505
1682202788,136040,1632480,0.172099639,0.029618286
1682206107,139620,1675440,0.189089347,0.035754781
1682209601,143200,1718400,0.183101166,0.033526037
1682212937,146780,1761360,0.321631449,0.103446789
1682216251,150360,1804320,0.205242645,0.042124543
1682219559,153940,1847280,0.17994016,0.032378461
1682222862,157520,1890240,0.194190206,0.037709836
1682226260,161100,1933200,0.175232922,0.030706577
1682229599,164680,1976160,0.19861501,0.039447922
1682232910,168260,2019120,0.235776012,0.055590328
1682236225,171840,2062080,0.171048409,0.029257558
1682239539,175420,2105040,0.182247502,0.033214152
1682242893,179000,2148000,0.176081089,0.03100455
1682246230,182580,2190960,0.181636492,0.032991815
1682249545,186160,2233920,0.172331415,0.029698117
1682252846,189740,2276880,0.178503343,0.031863444
1682256158,193320,2319840,0.193486239,0.037436925
1682259476,196900,2362800,0.22294841,0.049705993
1682262787,200480,2405760,0.178786861,0.031964742
1682266104,204060,2448720,0.17906554,0.032064468
1682269435,207640,2491680,0.174997,0.03062395
1682272787,211220,2534640,0.204993585,0.04202237
1682276190,214800,2577600,0.187370166,0.035107579
1682279521,218380,2620560,0.179280265,0.032141414
1682282847,221960,2663520,0.18029561,0.032506507
1682286174,225540,2706480,0.179527471,0.032230113
1682289504,229120,2749440,0.1715775,0.029438838
1682292830,232700,2792400,0.170497768,0.029069489
1682296363,236280,2835360,0.163647308,0.026780441
1682299695,239860,2878320,0.174632739,0.030496594
1682303021,243440,2921280,0.169839104,0.028845321
1682306352,247020,2964240,0.167910826,0.028194046
1682309670,250600,3007200,0.191009753,0.036484726
1682312986,254180,3050160,0.169789433,0.028828451
1682316298,257760,3093120,0.16515806,0.027277185
1682319681,261340,3136080,0.206734517,0.04273916
1682323030,264920,3179040,0.179037952,0.032054588
1682326352,268500,3222000,0.169285652,0.028657632
1682329690,272080,3264960,0.167650576,0.028106716
1682333013,275660,3307920,0.158781982,0.025211718
1682336330,279240,3350880,0.175936418,0.030953623
1682339652,282820,3393840,0.160271435,0.025686933
1682342965,286400,3436800,0.186461823,0.034768011
1682346313,289980,3479760,0.225640253,0.050913524
1682349756,293560,3522720,0.162504169,0.026407605
1682353106,297140,3565680,0.186493497,0.034779824
1682356457,300720,3608640,0.175598038,0.030834671
1682359796,304300,3651600,0.179359842,0.032169953
1682363128,307880,3694560,0.166652524,0.027773064
1682366534,311460,3737520,0.156772408,0.024577588
1682370063,315040,3780480,0.167573864,0.028081
1682373390,318620,3823440,0.178686255,0.031928778
1682376675,322200,3866400,0.168559234,0.028412215
1682379955,325780,3909360,0.17149101,0.029409166
1682383417,329360,3952320,0.186711072,0.034861024
1682386707,332940,3995280,0.16933441,0.028674142
1682389987,336520,4038240,0.191693616,0.036746442
1682393279,340100,4081200,0.176044685,0.030991731
1682396557,343680,4124160,0.162796981,0.026502857
1682399833,347260,4167120,0.162017538,0.026249683
1682403100,350840,4210080,0.164198518,0.026961153
1682406377,354420,4253040,0.164429759,0.027037146
1682409659,358000,4296000,0.156149743,0.024382742
1682413034,361580,4338960,0.173191652,0.029995348
1682416373,365160,4381920,0.171395728,0.029376496
1682419657,368740,4424880,0.160310735,0.025699532
1682422941,372320,4467840,0.164031968,0.026906487
1682426213,375900,4510800,0.160835344,0.025868008
1682429656,379480,4553760,0.179786758,0.032323278
1682432926,383060,4596720,0.179248346,0.032129969
1682436196,386640,4639680,0.159713715,0.025508471
1682439467,390220,4682640,0.159279704,0.025370024
1682442739,393800,4725600,0.154608063,0.023903653
1682445995,397380,4768560,0.161722561,0.026154187
1682449254,400960,4811520,0.180468737,0.032568965
1682452514,404540,4854480,0.160575469,0.025784481
1682455779,408120,4897440,0.194165083,0.037700079
